Event_ID,Code,Event_Type,Category,Status,Location,Suburb,City,Published
P021747210,6820,Firearms Offences,Public safety,Closed,TE ARAWA PL,WELCOME BAY,TAURANGA,Sun 1:56 AM
P021747568,1510,Serious Assaults,Violence,Closed,LEONARD RD,MOUNT WELLINGTON,AUCKLAND,Sun 1:50 AM
P021747461,1640,Minor Assaults,Violence,Closed,MILTON RD,PAPATOETOE,AUCKLAND,Sun 1:50 AM
P021747581,1C,Car/Person Acting Suspiciously,Public safety,Closed,KOWHAI ST,WAINUIOMATA,LOWER HUTT,Sun 1:50 AM
P021747604,1K,Drunk Custody/Detox Centre,Liquor,Closed,HEREFORD ST,CHRISTCHURCH CENTRAL,CHRISTCHURCH,Sun 1:50 AM
P021746405,2R,Recovery Motor Vehicle,Vehicle Crime/incident,Closed,KAKARAMEA RD,WHATAWHATA,WAIKATO,Sun 1:50 AM
P021747629,3530,Disorder,Disorder,Closed,-,AUCKLAND CENTRAL,AUCKLAND,Sun 1:50 AM
P021746810,3530,Disorder,Disorder,Closed,CORLETT ST,UTUHINA,ROTORUA,Sun 1:50 AM
P021747621,3530,Disorder,Disorder,Closed,MACLEAN ST,WALLACEVILLE,UPPER HUTT,Sun 1:50 AM
P021747605,3530,Disorder,Disorder,Closed,PUTIKI RD,OSTEND,AUCKLAND,Sun 1:50 AM
P021747603,3530,Disorder,Disorder,Closed,LINCOLN RD,ADDINGTON,CHRISTCHURCH,Sun 1:50 AM
P021747221,3530,Disorder,Disorder,Closed,RUAPEHU ST,TAUPO,TAUPO,Sun 1:50 AM
P021747610,3H,Hotel Visit,Liquor,Closed,-,,,Sun 1:50 AM
P021747230,4320,Theft Ex Shop,Dishonesty,Closed,CUBA ST,TE ARO,WELLINGTON,Sun 1:50 AM
P021746447,1U,Traffic Offending,Road Policing,Closed,HUNUA RD,PAPAKURA,AUCKLAND,Sun 1:50 AM
P021747634,1U,Traffic Offending,Road Policing,Closed,RICCARTON RD,RICCARTON,CHRISTCHURCH,Sun 1:50 AM
P021747539,1C,Car/Person Acting Suspiciously,Public safety,Cancelled,SOUTHERN MWY,ELLERSLIE,AUCKLAND,Sun 1:40 AM
P021747248,1C,Car/Person Acting Suspiciously,Public safety,Closed,NEILL ST,HORNBY,CHRISTCHURCH,Sun 1:40 AM
P021747558,1C,Car/Person Acting Suspiciously,Public safety,Closed,BANK ST,TE AWAMUTU,WAIPA,Sun 1:40 AM
P021747535,1I,Blockage/Breakdown On Highway,Road Policing,Closed,SOUTHERN MWY,ELLERSLIE,AUCKLAND,Sun 1:40 AM
P021747537,3530,Disorder,Disorder,Cancelled,FAIRY SPRINGS RD,FAIRY SPRINGS,ROTORUA,Sun 1:40 AM
P021747559,3H,Hotel Visit,Liquor,Closed,-,,,Sun 1:40 AM
P021746949,3H,Hotel Visit,Liquor,Closed,DUKE ST,CAMBRIDGE,WAIPA,Sun 1:40 AM
P021747013,1D,Domestic Dispute,Family violence,Closed,BEECHE PL,BIRKDALE,AUCKLAND,Sun 1:39 AM
P021747012,1J,Juvenile Complaint,Public safety,Closed,-,GLEN INNES,AUCKLAND,Sun 1:34 AM
P021746992,1D,Domestic Dispute,Family violence,Closed,PITT AV,CLENDON PARK,AUCKLAND,Sun 1:33 AM
P021747468,1510,Serious Assaults,Violence,Closed,ANDREW ST,ALLENTON,ASHBURTON,Sun 1:30 AM
P021747473,1C,Car/Person Acting Suspiciously,Public safety,Closed,RANDOLPH ST,EDEN TERRACE,AUCKLAND,Sun 1:30 AM
P021747467,1C,Car/Person Acting Suspiciously,Public safety,Closed,GREAT NORTH RD,NEW LYNN,AUCKLAND,Sun 1:30 AM
P021746567,1F,Assist Fire/Ambulance/Traffic,Public safety,Closed,-,,,Sun 1:30 AM
P021747456,1J,Juvenile Complaint,Public safety,Closed,BROADWAY,KAIKOHE,FAR NORTH,Sun 1:30 AM
P021747465,1K,Drunk Custody/Detox Centre,Liquor,Closed,-,TAUPO,TAUPO,Sun 1:30 AM
P021746939,1N,Noise Control,Disorder,Closed,PARAKAI ST,PARAPARAUMU,KAPITI,Sun 1:30 AM
P021747438,1V,Vehicle Collision,Road Policing,Closed,-,PUKEKAWA,WAIKATO,Sun 1:30 AM
P021747450,3530,Disorder,Disorder,Closed,ARARINO ST,TRENTHAM,UPPER HUTT,Sun 1:30 AM
P021747448,3530,Disorder,Disorder,Closed,BLACKBURN ST,FRANKTON,HAMILTON,Sun 1:30 AM
P021747224,3530,Disorder,Disorder,Cancelled,STUDHOLME ST,MORRINSVILLE,MATAMATA-PIAKO,Sun 1:30 AM
P021747479,3530,Disorder,Disorder,Closed,MUNGAVIN AV,RANUI,PORIRUA,Sun 1:30 AM
P021747471,3530,Disorder,Disorder,Closed,COBHAM RD,KERIKERI,FAR NORTH,Sun 1:30 AM
P021747470,3530,Disorder,Disorder,Cancelled,BLACKBURN ST,FRANKTON,HAMILTON,Sun 1:30 AM
P021747460,3530,Disorder,Disorder,Closed,HARINGTON ST,TAURANGA,TAURANGA,Sun 1:30 AM
P021747469,3H,Hotel Visit,Liquor,Closed,ROLLESTON DR,ROLLESTON,SELWYN,Sun 1:30 AM
P021747417,6110,Trespass,Public safety,Closed,GRAEME AV,MANGERE EAST,AUCKLAND,Sun 1:30 AM
P021744595,6I,Unauthorised Street And Drag Racing,Disorder,Closed,BURROW RD,PUKEKOHE,WAIKATO,Sun 1:30 AM
P021744785,1U,Traffic Offending,Road Policing,Closed,-,,,Sun 1:30 AM
P021747474,AMB2POL,Ambulance Assistance,Tasks,Cancelled,-,,,Sun 1:30 AM
P021747462,FIR2POL,Fire Assistance,Tasks,Cancelled,MORRISON RD,PUKEKAWA,WAIKATO,Sun 1:30 AM
P021746895,1D,Domestic Dispute,Family violence,Closed,NORMANBY ST,KAWERAU,KAWERAU,Sun 1:25 AM
P021746710,1D,Domestic Dispute,Family violence,Closed,MACDONALD RD,GLENVIEW,HAMILTON,Sun 1:23 AM
P021744283,1510,Serious Assaults,Violence,Closed,STATION RD,TAKANINI,AUCKLAND,Sun 1:20 AM
P021746641,1C,Car/Person Acting Suspiciously,Public safety,Closed,DARBY ST,AUCKLAND CENTRAL,AUCKLAND,Sun 1:20 AM
P021747382,1C,Car/Person Acting Suspiciously,Public safety,Closed,-,CHRISTCHURCH CENTRAL,CHRISTCHURCH,Sun 1:20 AM
P021747378,1C,Car/Person Acting Suspiciously,Public safety,Cancelled,MEADOWBANK RD,MEADOWBANK,AUCKLAND,Sun 1:20 AM
P021747346,3530,Disorder,Disorder,Closed,-,STANMORE BAY,AUCKLAND,Sun 1:20 AM
P021747394,3530,Disorder,Disorder,Cancelled,WINSTONE AV,CHARTWELL,HAMILTON,Sun 1:20 AM
P021747358,3530,Disorder,Disorder,Closed,MAIN RD,TOKOROA,SOUTH WAIKATO,Sun 1:20 AM
P021747349,3H,Hotel Visit,Liquor,Closed,-,,,Sun 1:20 AM
P021747340,3H,Hotel Visit,Liquor,Closed,-,,,Sun 1:20 AM
P021747396,3H,Hotel Visit,Liquor,Closed,-,,,Sun 1:20 AM
P021747370,3H,Hotel Visit,Liquor,Closed,TANCRED ST,HAMPSTEAD,ASHBURTON,Sun 1:20 AM
P021747356,3H,Hotel Visit,Liquor,Closed,-,,,Sun 1:20 AM
P021747377,5120,Wilful Damage,Property damage,Closed,RATA ST,HELENSVILLE,AUCKLAND,Sun 1:20 AM
